Serial Number,Title,Price,Rating,Offer
1,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Active Black, In the Ear)","₹1,199",3.9,59% off
2,,,,
3,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset  (Magico Black, In the Ear)","₹1,999",4.3,13% off
4,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)",₹999,4,66% off
5,"realme Techlife Buds T100 with up to 28 Hours Playback & AI ENC for Calls Bluetooth Headset  (Black, True Wireless)","₹1,399",4.2,53% off
6,"OPPO Enco Buds 2 with 28 hours Battery life & Deep Noise Cancellation Bluetooth Headset  (Midnight, True Wireless)","₹1,799",4.2,55% off
7,"OnePlus Bullets Wireless Z2 Bluetooth Headset  (Acoustic Red, In the Ear)","₹1,999",4.3,13% off
8,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",₹999,4,77% off
9,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low Latency Gaming, Made In India, 5.3 Bluetooth Headset  (Blue, In the Ear)",₹999,4.1,80% off
10,"OnePlus Bullets Wireless Z2 Bluetooth Headset  (Beam Blue, In the Ear)","₹1,999",4.3,13% off
11,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latency Gaming Mode, 35H Playtime Bluetooth Headset  (Black, True Wireless)","₹1,439",4,68% off
12,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Active Black Matte, True Wireless)",₹999,4,66% off
13,"realme Buds 2 Wired Headset  (Blue, In the Ear)",₹599,4.4,25% off
14,"realme Buds Classic RMA2001 Wired Earphones with HD Microphone Wired Headset  (Black, In the Ear)",₹395,4.2,43% off
15,"PROWARP PRODART Original EHS61 Deep Bass with Sound Cancellation Wired Headset  (White, In the Ear)",₹239,4.1,65% off
16,"boAt BassHeads 100 Wired Headset  (Furious Red, In the Ear)",₹395,4.3,60% off
17,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast Charging, Pro+ Calling, IPX5 Bluetooth Headset  (Black, True Wireless)",₹999,4.1,81% off
18,"Aroma NB140 Dhamaal 24 Hours* Playtime | Deep Bass | Made In India| TrueWiresless Bluetooth Headset  (Dark Blue, True Wireless)",₹478,3.5,76% off
19,"Mi Mi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber Wired Headset  (Blue, Black, In the Ear)",₹396,4.3,33% off
20,"APPLE EarPods with 3.5mm Headphone Plug Wired Headset  (White, In the Ear)","₹1,534",4,23% off
21,,,,
22,"Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Made In India| TrueWiresless Bluetooth Headset  (White, True Wireless)",₹478,3.6,76% off
23,,,,
24,"boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth Headset  (Navy Blue, In the Ear)","₹1,104",4.2,72% off
25,"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge & 10mm Drivers Bluetooth Headset  (Pebble Black, True Wireless)","₹1,099",4,55% off
26,"OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Active Noise Cancellation Bluetooth Headset  (Thunder Gray, True Wireless)","₹2,999",4.3,9% off
27,"Aroma NB119 Platinum 48 Hours Playtime Fast Charging, Dual Pairing Bluetooth Neckband Bluetooth Headset  (Green, In the Ear)",₹410,4.1,83% off
28,"truke Buds Q1+ with 80H Playtime, Quad Mic Adv.ENC, 12mm Drivers, Gaming Mode (45ms) Bluetooth Headset  (Black, True Wireless)","₹1,099",3.9,66% off
29,"realme Techlife Buds T100 with up to 28 Hours Playback & AI ENC for Calls Bluetooth Headset  (Blue, True Wireless)","₹1,399",4.2,53% off
30,"OnePlus Bullets Wireless Z2 ANC Bluetooth in Ear Earphones with 45dB Hybrid ANC Bluetooth Headset  (Boomin Black, In the Ear)","₹2,299",4.2,8% off
31,,,,
32,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast Charging, Pro+ Calling, IPX5 Bluetooth Headset  (White, True Wireless)",₹999,4.1,81% off
33,"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth Headset  (Deep Grey, True Wireless)","₹2,199",4.3,4% off
34,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spatial Audio and 40 hours Playback Bluetooth Headset  (Youth White, True Wireless)","₹1,999",4.3,50% off
35,,,,
36,"Mi Basic Wired Headset with Mic  (Black, In the Ear)",₹399,4.3,33% off
37,"Aroma NB119 Advance 48 Hours Playing Time Fast Charging Bluetooth Neckband Earphone Bluetooth Headset  (Black, Yellow, In the Ear)",₹332,4,86% off
38,"Boult Audio K20 with Quad Mic ENC, 32H Battery Life, Low Latency Gaming, Made in India, 5.3v Bluetooth Headset  (White, True Wireless)",₹999,3.9,56% off
39,"Mi Mi Dual Driver Dynamic Bass High Definition in-Ear Earphones with Mic Wired Headset  (Black, In the Ear)",₹788,4.1,21% off
40,"SONY XB55AP Wired Headset  (Black, In the Ear)","₹1,849",4.4,25% off
